,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Australia,Australia,GPE,0.09754902,0.58137255,en,3.40000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
the Czech Republic,the Czech Republic,GPE,0.52941176,0.79411765,en,3.40000000,,6986495,T,28.44912000,56.84917000,ASIA,Iran,WCA
US,US,GPE,0.03846154,0.15384615,en,2.60000000,,0,,,,,,
Japan,Japan,GPE,0.11282051,0.21282051,en,2.60000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Russia,Russia,GPE,0.07518797,0.40413534,en,1.90000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
New Zealand,New Zealand,GPE,-0.09573365,0.70837321,en,1.90000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Shinkansen,Shinkansen,GPE,0.12037037,0.20370370,en,1.80000000,,11865030,R,41.89932000,140.67051000,ASIA,Japan,EAS
United States,United States,GPE,-0.13425926,0.62500000,en,1.80000000,,0,,,,,,
Algeria,Algeria,GPE,0.45000000,0.72500000,en,1.00000000,4001179-3,2589581,A,28.00000000,3.00000000,AFRICA,Algeria,SAH
North,North,LOC,0.24166667,0.68333333,en,1.00000000,,12110879,L,42.74936000,-96.39971000,NORTH-AMERICA,United States,CNA
Moravia,Moravia,LOC,0.43333333,0.73333333,en,1.00000000,4008456-5,3078610,P,49.19522000,16.60796000,EUROPE,Czechia,WCE
Bohemia,Bohemia,LOC,-0.10000000,0.25000000,en,1.00000000,4008698-7,3077916,P,48.97447000,14.47434000,EUROPE,Czechia,WCE
the Coral Sea,the Coral Sea,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Alaska,Alaska,GPE,0.24166667,0.68333333,en,1.00000000,4001016-8,5879092,A,64.00028000,-150.00028000,NORTH-AMERICA,United States,NWN
Hawaii,Hawaii,GPE,0.24166667,0.68333333,en,1.00000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
West,West,LOC,0.24166667,0.68333333,en,1.00000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
the United States,the United States,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
East,East,LOC,0.24166667,0.68333333,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
New York,New York,GPE,-0.03787879,0.40151515,en,1.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
the North Island,the North Island,LOC,0.24992424,0.61863636,en,1.00000000,4229389-3,4796512,P,17.72751000,-64.74698000,CENTRAL-AMERICA,U.S. Virgin Islands,CAR
Antarctic,Antarctic,LOC,-0.02916667,0.17916667,en,1.00000000,,6632710,L,-90.00000000,0.00000000,POLAR,Antarctica,EAN
Antarctica,Antarctica,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Finland,Finland,GPE,0.40000000,0.50000000,en,1.00000000,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Canada,Canada,GPE,0.40000000,0.50000000,en,1.00000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Earth,Earth,LOC,0.23500000,0.73500000,en,1.00000000,,0,,,,,,
Silesia,Silesia,GPE,0.43333333,0.73333333,en,1.00000000,4052678-1,3066138,L,51.00000000,18.00000000,EUROPE,Poland,WCE
